INFO 2026-04-21 12:56:50,288 autoreload 31916 32168 Watching for file changes with StatReloader
WARNING 2026-04-21 13:39:45,948 log 28652 5844 Not Found: /static/rest_framework/js/prettify-min.js
WARNING 2026-04-21 13:39:45,948 log 28652 7784 Not Found: /static/rest_framework/js/default.js
WARNING 2026-04-21 13:39:45,949 basehttp 28652 5844 "GET /static/rest_framework/js/prettify-min.js HTTP/1.1" 404 179
WARNING 2026-04-21 13:39:45,949 basehttp 28652 7784 "GET /static/rest_framework/js/default.js HTTP/1.1" 404 179
WARNING 2026-04-21 13:39:45,952 log 28652 5844 Not Found: /static/rest_framework/js/load-ajax-form.js
WARNING 2026-04-21 13:39:45,953 basehttp 28652 5844 "GET /static/rest_framework/js/load-ajax-form.js HTTP/1.1" 404 179
WARNING 2026-04-21 13:40:08,321 log 28652 22264 Bad Request: /api/auth/login/
WARNING 2026-04-21 13:40:08,322 basehttp 28652 22264 "POST /api/auth/login/ HTTP/1.1" 400 85
INFO 2026-04-21 13:41:41,121 basehttp 28652 22264 - Broken pipe from ('127.0.0.1', 64307)
INFO 2026-04-21 13:41:41,121 basehttp 28652 29268 - Broken pipe from ('127.0.0.1', 62231)
INFO 2026-04-21 13:41:41,121 basehttp 28652 7784 - Broken pipe from ('127.0.0.1', 58375)
INFO 2026-04-21 13:41:41,121 basehttp 28652 5844 - Broken pipe from ('127.0.0.1', 58219)
INFO 2026-04-21 13:41:41,122 basehttp 28652 28608 - Broken pipe from ('127.0.0.1', 50779)
INFO 2026-04-21 13:41:41,122 basehttp 28652 28028 - Broken pipe from ('127.0.0.1', 54170)
INFO 2026-04-21 13:41:41,122 basehttp 28652 19668 - Broken pipe from ('127.0.0.1', 63232)
INFO 2026-04-21 13:41:41,343 basehttp 28652 29600 - Broken pipe from ('127.0.0.1', 63100)
INFO 2026-04-21 13:42:40,513 basehttp 28652 22244 "OPTIONS /api/auth/login/ HTTP/1.1" 200 0
WARNING 2026-04-21 13:42:40,516 log 28652 22244 Bad Request: /api/auth/login/
WARNING 2026-04-21 13:42:40,517 basehttp 28652 22244 "POST /api/auth/login/ HTTP/1.1" 400 85
WARNING 2026-04-21 13:46:14,985 log 28652 22244 Bad Request: /api/auth/login/
WARNING 2026-04-21 13:46:14,986 basehttp 28652 22244 "POST /api/auth/login/ HTTP/1.1" 400 85
WARNING 2026-04-21 13:46:39,173 log 28652 23652 Not Found: /api
WARNING 2026-04-21 13:46:39,174 basehttp 28652 23652 "GET /api HTTP/1.1" 404 179
WARNING 2026-04-21 13:46:39,223 log 28652 23652 Not Found: /favicon.ico
WARNING 2026-04-21 13:46:39,223 basehttp 28652 23652 "GET /favicon.ico HTTP/1.1" 404 179
WARNING 2026-04-21 13:47:48,191 exceptions 28652 23652 Request Error: LoginView - 405 - Método "GET" no permitido.
WARNING 2026-04-21 13:47:48,195 log 28652 23652 Method Not Allowed: /api/auth/login/
WARNING 2026-04-21 13:47:48,196 basehttp 28652 23652 "GET /api/auth/login/ HTTP/1.1" 405 5562
WARNING 2026-04-21 13:47:48,219 log 28652 23652 Not Found: /static/rest_framework/css/bootstrap.min.css
WARNING 2026-04-21 13:47:48,220 basehttp 28652 23652 "GET /static/rest_framework/css/bootstrap.min.css HTTP/1.1" 404 179
WARNING 2026-04-21 13:47:48,222 log 28652 23652 Not Found: /static/rest_framework/css/bootstrap-tweaks.css
WARNING 2026-04-21 13:47:48,223 basehttp 28652 23652 "GET /static/rest_framework/css/bootstrap-tweaks.css HTTP/1.1" 404 179
WARNING 2026-04-21 13:47:48,226 log 28652 23652 Not Found: /static/rest_framework/css/prettify.css
WARNING 2026-04-21 13:47:48,227 basehttp 28652 23652 "GET /static/rest_framework/css/prettify.css HTTP/1.1" 404 179
WARNING 2026-04-21 13:47:48,229 log 28652 23652 Not Found: /static/rest_framework/css/default.css
WARNING 2026-04-21 13:47:48,229 basehttp 28652 23652 "GET /static/rest_framework/css/default.css HTTP/1.1" 404 179
WARNING 2026-04-21 13:47:48,232 log 28652 23652 Not Found: /static/rest_framework/js/jquery-3.7.1.min.js
WARNING 2026-04-21 13:47:48,233 basehttp 28652 23652 "GET /static/rest_framework/js/jquery-3.7.1.min.js HTTP/1.1" 404 179
WARNING 2026-04-21 13:47:48,235 log 28652 23652 Not Found: /static/rest_framework/js/ajax-form.js
WARNING 2026-04-21 13:47:48,236 basehttp 28652 23652 "GET /static/rest_framework/js/ajax-form.js HTTP/1.1" 404 179
WARNING 2026-04-21 13:47:48,237 log 28652 23652 Not Found: /static/rest_framework/js/csrf.js
WARNING 2026-04-21 13:47:48,238 basehttp 28652 23652 "GET /static/rest_framework/js/csrf.js HTTP/1.1" 404 179
WARNING 2026-04-21 13:47:48,241 log 28652 23652 Not Found: /static/rest_framework/js/bootstrap.min.js
WARNING 2026-04-21 13:47:48,241 basehttp 28652 23652 "GET /static/rest_framework/js/bootstrap.min.js HTTP/1.1" 404 179
WARNING 2026-04-21 13:47:48,243 log 28652 23652 Not Found: /static/rest_framework/js/prettify-min.js
WARNING 2026-04-21 13:47:48,243 basehttp 28652 23652 "GET /static/rest_framework/js/prettify-min.js HTTP/1.1" 404 179
WARNING 2026-04-21 13:47:48,245 log 28652 23652 Not Found: /static/rest_framework/js/default.js
WARNING 2026-04-21 13:47:48,246 basehttp 28652 23652 "GET /static/rest_framework/js/default.js HTTP/1.1" 404 179
WARNING 2026-04-21 13:47:48,248 log 28652 23652 Not Found: /static/rest_framework/js/load-ajax-form.js
WARNING 2026-04-21 13:47:48,248 basehttp 28652 23652 "GET /static/rest_framework/js/load-ajax-form.js HTTP/1.1" 404 179
WARNING 2026-04-21 13:47:48,596 log 28652 29320 Not Found: /static/rest_framework/js/jquery-3.7.1.min.js
WARNING 2026-04-21 13:47:48,596 log 28652 23656 Not Found: /static/rest_framework/js/ajax-form.js
WARNING 2026-04-21 13:47:48,598 log 28652 6612 Not Found: /static/rest_framework/js/csrf.js
WARNING 2026-04-21 13:47:48,599 log 28652 27356 Not Found: /static/rest_framework/js/bootstrap.min.js
WARNING 2026-04-21 13:47:48,600 log 28652 27388 Not Found: /static/rest_framework/js/prettify-min.js
WARNING 2026-04-21 13:47:48,601 log 28652 5128 Not Found: /static/rest_framework/js/default.js
WARNING 2026-04-21 13:47:48,601 basehttp 28652 29320 "GET /static/rest_framework/js/jquery-3.7.1.min.js HTTP/1.1" 404 179
WARNING 2026-04-21 13:47:48,601 basehttp 28652 6612 "GET /static/rest_framework/js/csrf.js HTTP/1.1" 404 179
WARNING 2026-04-21 13:47:48,602 basehttp 28652 27356 "GET /static/rest_framework/js/bootstrap.min.js HTTP/1.1" 404 179
